satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,Department
0.84,1.0,5,234,5,0,technical
0.37,0.48,2,137,3,0,technical
0.86,0.68,5,263,2,0,technical
0.11,0.84,6,251,4,0,technical
0.37,0.57,2,133,3,0,technical
0.4,0.46,2,132,3,0,technical
0.14,0.62,4,158,4,1,technical
0.4,0.46,2,135,3,0,technical
0.75,1.0,4,216,6,0,technical
0.11,0.84,6,300,5,1,support
0.46,0.49,2,138,3,0,support
0.11,0.92,6,260,4,0,support
0.38,0.49,2,132,3,0,support
0.7,0.89,3,183,5,0,support
0.09,0.82,6,250,4,0,support
0.37,0.45,2,151,3,0,support
0.1,0.83,6,292,4,0,support
0.38,0.57,2,140,3,0,support
0.9,1.0,5,221,5,0,support
0.44,0.51,2,138,3,0,support
0.36,0.5,2,132,3,0,technical
0.31,0.84,7,133,5,0,technical
0.1,0.84,6,283,4,1,technical
0.42,0.48,2,129,3,0,management
0.74,1.0,4,249,5,0,IT
0.73,0.87,5,257,5,0,IT
0.09,0.96,6,245,4,0,IT
0.45,0.53,2,155,3,0,IT
0.11,0.8,6,256,4,0,IT
0.37,0.47,2,152,3,0,product_mng
0.84,0.99,4,267,5,0,product_mng
0.41,0.46,2,151,3,0,product_mng
0.76,0.92,4,239,5,0,product_mng
0.11,0.87,6,306,4,0,IT
0.84,0.88,4,263,5,1,marketing
0.39,0.5,2,147,3,0,marketing
0.11,0.91,6,278,4,0,marketing
0.45,0.56,2,154,3,0,marketing
0.37,0.52,2,143,3,0,marketing
0.4,0.52,2,155,3,0,marketing
0.39,0.48,2,160,3,0,sales
0.11,0.8,6,304,4,0,accounting
0.83,1.0,5,240,5,0,support
0.11,0.92,6,305,4,0,technical
0.39,0.5,2,136,3,0,management
0.45,0.45,2,132,3,0,marketing
0.1,0.95,7,301,4,0,marketing
0.9,0.98,5,243,6,0,marketing
0.45,0.51,2,147,3,0,sales
0.79,0.89,5,239,5,0,sales
0.9,0.99,5,260,5,0,sales
0.11,0.84,7,296,4,0,sales
0.43,0.55,2,129,3,0,sales
0.31,0.54,5,132,5,0,sales
0.32,0.5,2,135,5,0,sales
0.45,0.57,2,158,3,0,sales
0.81,0.99,4,259,5,0,sales
0.41,0.46,2,160,3,0,sales
0.11,0.78,7,278,4,0,sales
0.1,0.88,6,284,4,0,sales
0.7,0.53,2,274,4,0,sales
0.54,0.74,4,164,2,0,sales
0.41,0.48,2,148,3,0,sales
0.38,0.5,2,140,3,0,sales
0.37,0.51,2,127,3,0,sales
0.11,0.85,6,308,5,0,sales
0.4,0.47,2,146,3,0,sales
0.1,0.84,6,261,4,0,accounting
0.89,0.99,5,257,5,0,accounting
0.11,0.8,6,285,4,0,accounting
0.36,0.55,2,141,3,0,hr
0.4,0.46,2,127,3,0,hr
0.09,0.85,6,297,4,0,hr
0.4,0.46,2,143,3,0,hr
0.37,0.55,2,152,3,0,technical
0.44,0.51,2,156,3,0,technical
0.09,0.8,7,283,5,0,technical
0.92,0.87,4,226,6,1,technical
0.74,0.91,4,232,5,0,technical
0.09,0.82,6,249,4,0,technical
0.89,0.95,4,275,5,0,technical
0.09,0.8,6,304,4,0,technical
0.27,0.54,7,278,3,0,technical
0.1,0.91,6,287,4,0,technical
0.1,0.89,7,285,4,0,technical
0.77,0.94,5,226,6,0,support
